,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,_SalesTeamID,_StoreID,Order Quantity,Discount Applied,Unit Cost,Unit Price
17,In-Store,WARE-XYS1001,04/10/18,06/01/18,06/06/18,8,21,4,0.1,393.96,984.9
18,In-Store,WARE-MKL1006,04/10/18,06/01/18,06/07/18,5,349,4,0.1,"4,130.01","5,581.10"
19,Online,WARE-NMK1003,12/31/17,06/01/18,06/11/18,14,134,4,0.05,"1,795.33","3,095.40"
20,Wholesale,WARE-NMK1003,04/10/18,06/01/18,06/18/18,25,193,4,0.4,"1,754.06","2,278.00"
21,In-Store,WARE-PUJ1005,04/10/18,06/02/18,06/10/18,2,282,7,0.075,654.46,991.6
22,In-Store,WARE-XYS1001,04/10/18,06/02/18,06/26/18,7,20,2,0.2,"3,064.45","3,979.80"
23,Distributor,WARE-UHY1004,12/31/17,06/02/18,06/22/18,24,218,3,0.4,866.71,"1,969.80"
24,In-Store,WARE-NMK1003,04/10/18,06/02/18,06/16/18,4,173,1,0.15,131.32,268
25,Online,WARE-NMK1003,12/31/17,06/02/18,06/21/18,18,110,7,0.1,95.81,174.2
26,In-Store,WARE-UHY1004,12/31/17,06/02/18,06/26/18,7,229,3,0.075,"2,510.09","2,988.20"
27,In-Store,WARE-UHY1004,12/31/17,06/02/18,06/20/18,9,238,4,0.05,"2,679.93","3,999.90"
28,Distributor,WARE-NMK1003,04/10/18,06/02/18,06/21/18,20,97,3,0.05,"2,450.32","5,976.40"
29,In-Store,WARE-NMK1003,04/10/18,06/02/18,06/27/18,8,103,5,0.1,"2,378.90","2,901.10"
30,In-Store,WARE-PUJ1005,04/10/18,06/03/18,06/26/18,8,305,7,0.075,"2,734.61","6,076.90"
31,Online,WARE-PUJ1005,12/31/17,06/03/18,06/05/18,13,303,7,0.2,"4,186.70","5,735.20"
32,Online,WARE-UHY1004,12/31/17,06/03/18,06/30/18,19,217,3,0.1,"2,077.34","3,919.50"
33,Online,WARE-MKL1006,12/31/17,06/03/18,06/30/18,17,362,1,0.05,"3,832.67","6,083.60"
34,Wholesale,WARE-MKL1006,04/10/18,06/03/18,06/14/18,26,335,5,0.075,"1,642.30","2,566.10"
35,Distributor,WARE-NBV1002,12/31/17,06/03/18,06/07/18,22,84,2,0.075,"1,093.44","2,278.00"
36,In-Store,WARE-UHY1004,12/31/17,06/03/18,06/14/18,7,256,1,0.075,120.2,261.3
37,Online,WARE-MKL1006,12/31/17,06/03/18,06/28/18,12,360,8,0.05,698.81,998.3
38,In-Store,WARE-NMK1003,12/31/17,06/03/18,06/13/18,4,90,6,0.2,"1,958.54","3,497.40"
39,In-Store,WARE-NMK1003,12/31/17,06/03/18,06/18/18,9,196,4,0.05,486.89,"1,132.30"
40,In-Store,WARE-XYS1001,12/31/17,06/03/18,06/15/18,7,40,7,0.05,"1,587.50","2,405.30"
41,Distributor,WARE-MKL1006,12/31/17,06/03/18,06/24/18,24,367,8,0.05,"3,249.97","5,701.70"
42,Distributor,WARE-UHY1004,12/31/17,06/04/18,06/09/18,25,249,1,0.2,"1,446.80","2,452.20"
43,In-Store,WARE-XYS1001,12/31/17,06/04/18,06/30/18,11,6,3,0.05,"2,012.01","3,095.40"
44,Online,WARE-UHY1004,12/31/17,06/04/18,06/12/18,15,212,4,0.4,"2,164.90","3,865.90"
45,Distributor,WARE-XYS1001,12/31/17,06/04/18,06/10/18,23,37,8,0.1,"1,382.88","2,304.80"
46,Online,WARE-XYS1001,12/31/17,06/04/18,06/21/18,17,38,3,0.05,"1,470.11","3,195.90"
47,Online,WARE-PUJ1005,12/31/17,06/04/18,06/19/18,18,294,7,0.05,"5,161.68","6,452.10"
48,Distributor,WARE-NMK1003,12/31/17,06/05/18,06/14/18,24,105,3,0.3,921.52,"2,003.30"
49,Distributor,WARE-XYS1001,04/10/18,06/05/18,06/28/18,23,17,8,0.05,"1,455.24","3,638.10"
50,In-Store,WARE-NMK1003,04/10/18,06/05/18,06/14/18,4,109,3,0.075,"1,822.40","2,278.00"
51,Online,WARE-NMK1003,04/10/18,06/05/18,06/25/18,16,141,6,0.3,582.5,924.6
52,Online,WARE-NMK1003,04/10/18,06/05/18,06/21/18,19,111,5,0.05,"3,062.44","3,926.20"
53,Distributor,WARE-MKL1006,12/31/17,06/05/18,06/12/18,23,349,4,0.075,"2,257.16","3,825.70"
54,Wholesale,WARE-MKL1006,12/31/17,06/05/18,07/03/18,27,360,3,0.05,"1,377.32","2,257.90"
55,Distributor,WARE-NMK1003,12/31/17,06/06/18,07/02/18,24,148,8,0.075,756.3,"1,112.20"
56,Online,WARE-NMK1003,12/31/17,06/06/18,06/22/18,19,103,8,0.05,"1,814.43","3,557.70"
57,Online,WARE-NBV1002,12/31/17,06/06/18,06/09/18,13,59,3,0.4,"1,233.34","2,371.80"
58,Online,WARE-NBV1002,12/31/17,06/06/18,07/01/18,14,60,1,0.4,686.08,857.6
59,In-Store,WARE-UHY1004,12/31/17,06/07/18,06/14/18,11,238,5,0.3,"2,880.60","3,892.70"
60,In-Store,WARE-NMK1003,12/31/17,06/07/18,06/13/18,3,151,6,0.075,"1,390.92","3,477.30"
61,Online,WARE-NMK1003,12/31/17,06/07/18,06/11/18,13,152,5,0.1,"2,803.95","3,738.60"
62,Online,WARE-PUJ1005,04/10/18,06/07/18,06/10/18,20,262,5,0.3,589.6,"1,072.00"
63,In-Store,WARE-NMK1003,04/10/18,06/07/18,07/01/18,5,120,7,0.05,"1,761.16","2,257.90"
64,Online,WARE-UHY1004,04/10/18,06/07/18,06/11/18,18,233,3,0.1,751.61,"1,058.60"
65,Online,WARE-NBV1002,04/10/18,06/07/18,06/15/18,13,77,4,0.1,"1,296.05","2,492.40"
66,In-Store,WARE-NBV1002,04/10/18,06/07/18,06/13/18,4,69,5,0.05,"2,465.60","3,852.50"
67,Distributor,WARE-UHY1004,12/31/17,06/08/18,06/19/18,23,215,8,0.05,132.66,241.2
68,In-Store,WARE-XYS1001,12/31/17,06/08/18,06/11/18,9,30,2,0.15,494.39,"1,051.90"
69,Distributor,WARE-NMK1003,12/31/17,06/08/18,06/14/18,25,169,5,0.3,107.07,227.8
70,Distributor,WARE-MKL1006,04/10/18,06/08/18,06/14/18,24,333,5,0.05,506.99,"1,078.70"
71,Wholesale,WARE-NMK1003,04/10/18,06/08/18,06/13/18,28,96,8,0.15,743.7,"1,005.00"
72,Distributor,WARE-PUJ1005,04/10/18,06/08/18,07/03/18,24,289,5,0.05,"1,317.42","2,485.70"
73,In-Store,WARE-NMK1003,04/10/18,06/08/18,06/30/18,3,140,3,0.05,"2,154.52","2,659.90"
74,In-Store,WARE-NMK1003,04/10/18,06/09/18,06/28/18,1,107,1,0.075,"1,579.32","2,224.40"
75,In-Store,WARE-MKL1006,04/10/18,06/09/18,06/12/18,11,338,7,0.2,"1,260.87","2,472.30"
76,In-Store,WARE-UHY1004,04/10/18,06/09/18,06/23/18,5,232,5,0.05,799.24,"1,011.70"
77,Wholesale,WARE-UHY1004,04/10/18,06/09/18,07/05/18,26,231,6,0.2,128.98,234.5
78,Online,WARE-NMK1003,04/10/18,06/09/18,06/14/18,13,158,4,0.075,143.72,261.3
79,Online,WARE-XYS1001,12/31/17,06/09/18,06/27/18,18,36,7,0.1,"2,844.69","4,006.60"
80,In-Store,WARE-UHY1004,04/10/18,06/09/18,07/05/18,3,206,7,0.05,866.65,"1,333.30"
81,In-Store,WARE-UHY1004,04/10/18,06/10/18,07/07/18,10,255,5,0.05,90.45,167.5
82,Online,WARE-MKL1006,04/10/18,06/10/18,06/28/18,14,336,7,0.075,"1,821.66","3,195.90"
83,Online,WARE-PUJ1005,04/10/18,06/10/18,06/30/18,20,307,1,0.05,809.96,"1,051.90"
84,Online,WARE-XYS1001,12/31/17,06/10/18,06/30/18,15,9,4,0.1,"3,540.62","5,447.10"
85,Online,WARE-NMK1003,04/10/18,06/10/18,06/16/18,13,200,2,0.075,"1,973.15","3,182.50"
86,In-Store,WARE-MKL1006,12/31/17,06/11/18,06/29/18,6,337,3,0.1,632.68,891.1
87,Online,WARE-NMK1003,12/31/17,06/11/18,06/16/18,15,158,2,0.2,"2,724.89","3,892.70"
88,Online,WARE-UHY1004,12/31/17,06/11/18,06/13/18,13,249,2,0.4,"3,360.05","3,953.00"
89,Online,WARE-NMK1003,12/31/17,06/11/18,06/28/18,20,185,2,0.3,545.51,924.6
90,Online,WARE-NMK1003,04/10/18,06/11/18,07/07/18,20,189,7,0.3,"1,989.63","3,430.40"
91,Distributor,WARE-NMK1003,04/10/18,06/11/18,06/28/18,22,170,7,0.075,622.3,"1,152.40"
92,Distributor,WARE-NMK1003,04/10/18,06/11/18,06/21/18,21,130,4,0.1,922.59,"1,085.40"
93,In-Store,WARE-NMK1003,12/31/17,06/12/18,06/16/18,5,149,5,0.1,"4,025.36","5,031.70"
94,Distributor,WARE-NMK1003,04/10/18,06/12/18,06/28/18,24,99,7,0.15,436.84,"1,092.10"
95,Wholesale,WARE-XYS1001,12/31/17,06/12/18,06/25/18,27,21,7,0.05,144.45,187.6
96,Online,WARE-NMK1003,12/31/17,06/12/18,07/09/18,18,90,4,0.05,"2,835.17","3,993.20"
97,Online,WARE-MKL1006,12/31/17,06/12/18,06/15/18,14,360,5,0.05,"1,433.93","2,472.30"
98,In-Store,WARE-XYS1001,04/10/18,06/12/18,07/05/18,4,23,4,0.05,844.2,"1,206.00"
99,Online,WARE-NMK1003,12/31/17,06/12/18,06/22/18,20,144,5,0.05,985.3,"1,728.60"
100,Wholesale,WARE-NMK1003,12/31/17,06/12/18,06/20/18,28,134,7,0.075,"1,447.74","1,983.20"
101,Online,WARE-NMK1003,04/10/18,06/12/18,07/10/18,20,180,2,0.2,"2,656.55","5,313.10"
102,Distributor,WARE-XYS1001,04/10/18,06/12/18,06/17/18,20,58,5,0.075,566.15,871
103,Online,WARE-NMK1003,12/31/17,06/13/18,06/27/18,12,175,2,0.1,"2,051.41","2,532.60"
104,Online,WARE-NMK1003,04/10/18,06/13/18,06/25/18,14,95,4,0.075,"4,673.72","5,916.10"
105,Online,WARE-UHY1004,12/31/17,06/13/18,06/23/18,13,231,1,0.075,"1,443.85","2,887.70"
106,In-Store,WARE-NMK1003,12/31/17,06/13/18,06/20/18,1,199,7,0.1,"1,447.60","1,855.90"
107,In-Store,WARE-XYS1001,04/10/18,06/13/18,06/17/18,2,58,5,0.1,135.01,207.7
108,In-Store,WARE-MKL1006,12/31/17,06/13/18,06/29/18,2,345,3,0.05,772.78,"1,058.60"
109,Online,WARE-UHY1004,04/10/18,06/13/18,07/03/18,13,241,7,0.1,517.37,958.1
110,In-Store,WARE-NMK1003,04/10/18,06/13/18,07/08/18,6,186,7,0.2,"1,675.74","2,659.90"
111,In-Store,WARE-NMK1003,12/31/17,06/13/18,07/05/18,7,144,3,0.1,"1,707.63","2,217.70"
112,Online,WARE-XYS1001,12/31/17,06/14/18,06/17/18,20,40,1,0.3,857.6,"1,715.20"
113,In-Store,WARE-PUJ1005,04/10/18,06/14/18,07/06/18,6,288,7,0.15,"1,691.15","3,932.90"
114,In-Store,WARE-NMK1003,12/31/17,06/14/18,06/19/18,2,169,2,0.05,"1,909.50","2,546.00"
115,Online,WARE-PUJ1005,12/31/17,06/14/18,06/26/18,15,277,1,0.075,603,837.5
116,Online,WARE-UHY1004,04/10/18,06/14/18,06/26/18,16,219,3,0.15,"1,302.48","1,809.00"
117,Wholesale,WARE-PUJ1005,04/10/18,06/14/18,06/29/18,26,306,8,0.075,514.56,857.6
118,In-Store,WARE-XYS1001,12/31/17,06/14/18,06/30/18,8,7,6,0.05,"1,101.68","1,748.70"
119,Wholesale,WARE-NBV1002,12/31/17,06/14/18,06/16/18,28,78,1,0.075,582.5,"1,266.30"
120,In-Store,WARE-XYS1001,12/31/17,06/14/18,06/16/18,3,28,5,0.1,"3,591.54","5,058.50"
121,Distributor,WARE-XYS1001,04/10/18,06/14/18,06/28/18,22,39,7,0.05,795.22,958.1
122,Online,WARE-NMK1003,12/31/17,06/14/18,07/10/18,19,122,8,0.15,756.97,"1,802.30"
123,In-Store,WARE-XYS1001,04/10/18,06/15/18,07/07/18,4,48,4,0.075,"4,534.56","6,298.00"
124,Online,WARE-XYS1001,12/31/17,06/15/18,07/02/18,18,1,1,0.1,"1,824.34","2,499.10"
125,In-Store,WARE-NMK1003,04/10/18,06/15/18,06/19/18,8,198,3,0.1,705.51,871
126,In-Store,WARE-UHY1004,12/31/17,06/15/18,07/12/18,1,242,1,0.05,360.19,750.4
127,Wholesale,WARE-NMK1003,04/10/18,06/15/18,06/23/18,27,200,8,0.075,504.11,763.8
128,In-Store,WARE-PUJ1005,12/31/17,06/15/18,06/26/18,5,304,6,0.1,565.61,844.2
129,In-Store,WARE-XYS1001,04/10/18,06/15/18,07/05/18,2,31,7,0.05,112.36,261.3
130,Online,WARE-NBV1002,12/31/17,06/15/18,07/06/18,19,71,2,0.05,"2,359.94","3,999.90"
131,In-Store,WARE-UHY1004,12/31/17,06/15/18,06/25/18,4,250,6,0.05,811.91,"1,112.20"
132,In-Store,WARE-NMK1003,04/10/18,06/15/18,06/26/18,10,167,2,0.075,"1,843.17","2,633.10"
133,Distributor,WARE-NMK1003,12/31/17,06/15/18,07/09/18,22,132,6,0.2,631.41,"1,018.40"
134,In-Store,WARE-XYS1001,04/10/18,06/15/18,06/27/18,1,56,4,0.15,"3,444.74","5,219.30"
135,Distributor,WARE-UHY1004,04/10/18,06/15/18,07/13/18,21,259,1,0.15,"2,359.94","3,999.90"
136,Online,WARE-MKL1006,04/10/18,06/16/18,06/27/18,20,341,5,0.4,"1,084.80","1,721.90"
137,In-Store,WARE-NMK1003,12/31/17,06/16/18,07/05/18,10,195,6,0.15,456.94,737
138,Online,WARE-XYS1001,04/10/18,06/16/18,07/07/18,19,33,3,0.05,695.06,"1,219.40"
139,In-Store,WARE-PUJ1005,12/31/17,06/16/18,07/12/18,2,279,8,0.05,712.88,891.1
140,In-Store,WARE-NMK1003,04/10/18,06/16/18,07/14/18,7,148,1,0.15,743.43,978.2
141,In-Store,WARE-NMK1003,04/10/18,06/16/18,07/01/18,11,170,1,0.15,"1,657.45","3,946.30"
142,In-Store,WARE-NMK1003,04/10/18,06/16/18,07/05/18,3,181,2,0.4,922.86,"1,299.80"
143,Online,WARE-NBV1002,04/10/18,06/17/18,07/14/18,19,77,4,0.05,"2,791.49","5,815.60"
144,In-Store,WARE-NMK1003,04/10/18,06/17/18,07/08/18,3,122,6,0.15,655.26,"1,092.10"
145,Distributor,WARE-XYS1001,04/10/18,06/17/18,07/10/18,24,36,6,0.15,643.2,"1,072.00"
146,Online,WARE-UHY1004,04/10/18,06/17/18,07/08/18,17,217,5,0.05,"2,653.20","4,020.00"
147,Online,WARE-NBV1002,04/10/18,06/17/18,07/10/18,20,63,4,0.15,669.73,984.9
148,Distributor,WARE-MKL1006,04/10/18,06/17/18,07/02/18,21,341,7,0.05,100.23,227.8
149,In-Store,WARE-XYS1001,12/31/17,06/17/18,06/23/18,3,36,3,0.15,"3,314.36","3,993.20"
150,Online,WARE-NMK1003,12/31/17,06/17/18,06/29/18,12,163,4,0.075,185.72,221.1
151,Online,WARE-NMK1003,04/10/18,06/18/18,07/04/18,12,101,6,0.075,"2,819.63","3,356.70"
152,In-Store,WARE-PUJ1005,12/31/17,06/18/18,07/09/18,1,321,1,0.05,"1,157.22","1,701.80"
153,In-Store,WARE-PUJ1005,04/10/18,06/18/18,07/08/18,3,276,3,0.15,"2,181.19","2,566.10"
154,In-Store,WARE-NMK1003,12/31/17,06/18/18,06/22/18,6,101,4,0.05,126.03,221.1
155,In-Store,WARE-UHY1004,04/10/18,06/18/18,06/30/18,5,248,1,0.1,980.21,"1,782.20"
156,Distributor,WARE-NMK1003,12/31/17,06/18/18,07/15/18,24,95,8,0.05,801.32,"2,003.30"
157,Distributor,WARE-XYS1001,12/31/17,06/18/18,07/09/18,20,33,5,0.075,"1,502.68","2,385.20"
158,Online,WARE-XYS1001,04/10/18,06/18/18,07/11/18,13,12,1,0.1,"1,784.88","2,231.10"
159,In-Store,WARE-NMK1003,04/10/18,06/18/18,07/02/18,10,119,1,0.05,412.05,"1,005.00"
160,Distributor,WARE-PUJ1005,04/10/18,06/18/18,07/12/18,23,290,7,0.05,"1,939.25","2,693.40"
161,Online,WARE-NMK1003,04/10/18,06/18/18,07/10/18,17,110,4,0.075,652.25,"1,105.50"
162,Online,WARE-NBV1002,04/10/18,06/19/18,07/10/18,17,87,1,0.075,"1,088.42","1,909.50"
163,Distributor,WARE-NMK1003,04/10/18,06/19/18,06/21/18,21,177,7,0.2,850.36,"1,118.90"
164,In-Store,WARE-NMK1003,04/10/18,06/19/18,06/28/18,11,94,7,0.2,758.11,"1,038.50"
165,In-Store,WARE-NMK1003,12/31/17,06/19/18,06/28/18,1,126,6,0.05,"4,300.86","6,324.80"
166,In-Store,WARE-XYS1001,12/31/17,06/19/18,06/27/18,3,17,7,0.2,502.5,"1,005.00"
167,In-Store,WARE-NMK1003,04/10/18,06/19/18,07/14/18,3,178,5,0.075,659.48,"1,293.10"
168,In-Store,WARE-NBV1002,04/10/18,06/19/18,07/16/18,1,76,6,0.4,540.29,844.2
169,In-Store,WARE-PUJ1005,04/10/18,06/19/18,07/07/18,6,318,4,0.05,195.84,247.9
170,Distributor,WARE-UHY1004,12/31/17,06/19/18,06/26/18,21,217,7,0.3,139.36,174.2
171,In-Store,WARE-PUJ1005,04/10/18,06/20/18,07/11/18,2,278,6,0.1,707.32,"1,025.10"
172,Distributor,WARE-MKL1006,12/31/17,06/20/18,07/01/18,21,341,3,0.15,"2,301.45","3,068.60"
173,Online,WARE-NMK1003,12/31/17,06/20/18,07/09/18,16,122,2,0.075,115.78,241.2
174,In-Store,WARE-NMK1003,04/10/18,06/20/18,07/12/18,11,200,1,0.2,139.36,174.2
175,In-Store,WARE-XYS1001,12/31/17,06/20/18,07/03/18,3,30,2,0.2,"1,804.18","2,505.80"
176,Distributor,WARE-UHY1004,12/31/17,06/20/18,07/17/18,25,233,7,0.15,"1,637.75","2,599.60"
177,Online,WARE-NMK1003,12/31/17,06/20/18,06/24/18,18,151,6,0.15,"1,503.48","2,278.00"
178,Distributor,WARE-MKL1006,04/10/18,06/21/18,07/13/18,24,353,2,0.075,589.73,"1,092.10"
179,Wholesale,WARE-XYS1001,04/10/18,06/21/18,07/04/18,25,43,5,0.2,933.98,"1,139.00"
180,In-Store,WARE-MKL1006,12/31/17,06/21/18,07/02/18,4,339,2,0.15,"1,072.00","1,675.00"
181,Wholesale,WARE-UHY1004,04/10/18,06/21/18,06/29/18,26,228,2,0.05,687.96,"1,011.70"
182,Wholesale,WARE-NMK1003,04/10/18,06/21/18,07/16/18,27,128,7,0.1,412.72,938
183,Wholesale,WARE-XYS1001,04/10/18,06/21/18,07/16/18,28,55,8,0.05,"1,052.10","2,566.10"
184,Distributor,WARE-NMK1003,04/10/18,06/22/18,07/16/18,24,177,5,0.1,374.53,871
185,In-Store,WARE-NBV1002,04/10/18,06/22/18,07/17/18,2,81,1,0.1,"1,789.70","2,485.70"
186,In-Store,WARE-MKL1006,04/10/18,06/22/18,07/13/18,1,365,4,0.4,"1,922.90","2,345.00"
187,Online,WARE-XYS1001,04/10/18,06/22/18,07/12/18,15,48,2,0.05,749.66,"1,118.90"
188,In-Store,WARE-XYS1001,04/10/18,06/22/18,06/25/18,11,11,4,0.1,"1,397.62","1,996.60"
189,In-Store,WARE-NMK1003,04/10/18,06/22/18,07/10/18,11,127,1,0.075,390.61,710.2
190,Online,WARE-NMK1003,04/10/18,06/22/18,07/15/18,13,201,4,0.05,"1,790.91","3,979.80"
191,In-Store,WARE-MKL1006,12/31/17,06/22/18,07/11/18,8,339,3,0.075,440.79,"1,025.10"
192,In-Store,WARE-NMK1003,12/31/17,06/22/18,07/04/18,3,198,7,0.2,"1,309.98","2,519.20"
193,Online,WARE-NMK1003,12/31/17,06/22/18,07/18/18,15,150,7,0.05,"3,471.87","5,031.70"
194,Online,WARE-PUJ1005,04/10/18,06/23/18,07/01/18,19,311,1,0.1,768.22,"1,829.10"
195,In-Store,WARE-PUJ1005,04/10/18,06/23/18,07/16/18,5,304,5,0.075,900.48,"1,072.00"
196,In-Store,WARE-UHY1004,04/10/18,06/23/18,07/08/18,5,247,1,0.2,"1,828.30","2,539.30"
197,In-Store,WARE-PUJ1005,04/10/18,06/23/18,07/11/18,11,265,1,0.075,"2,027.69","3,899.40"
198,In-Store,WARE-MKL1006,04/10/18,06/24/18,06/27/18,5,366,3,0.2,"3,380.22","5,045.10"
199,Online,WARE-NMK1003,04/10/18,06/24/18,07/14/18,19,125,8,0.05,522.6,"1,005.00"
200,Wholesale,WARE-NMK1003,04/10/18,06/24/18,07/10/18,27,182,7,0.1,"1,219.40","2,438.80"
201,In-Store,WARE-NMK1003,04/10/18,06/25/18,07/10/18,11,152,4,0.3,"2,035.33","3,336.60"
202,In-Store,WARE-UHY1004,04/10/18,06/25/18,07/14/18,1,256,4,0.15,857.06,"1,098.80"
203,Online,WARE-NBV1002,04/10/18,06/25/18,07/18/18,19,66,2,0.075,970.43,"1,902.80"
204,Online,WARE-NMK1003,12/31/17,06/25/18,07/05/18,17,156,4,0.075,"2,190.70","3,477.30"
205,Wholesale,WARE-NMK1003,04/10/18,06/26/18,07/13/18,26,200,1,0.1,"1,481.77","2,599.60"
206,Online,WARE-PUJ1005,04/10/18,06/26/18,07/20/18,12,299,1,0.075,506.99,"1,078.70"
207,Online,WARE-NMK1003,12/31/17,06/26/18,07/15/18,17,199,5,0.2,533.05,"1,045.20"
208,Online,WARE-NMK1003,12/31/17,06/26/18,07/19/18,15,157,2,0.05,787.92,"1,125.60"
209,In-Store,WARE-NMK1003,04/10/18,06/26/18,07/16/18,1,187,8,0.05,762.8,"1,105.50"
210,Online,WARE-NBV1002,12/31/17,06/26/18,07/24/18,18,84,1,0.1,"1,668.03","2,606.30"
211,Distributor,WARE-UHY1004,04/10/18,06/26/18,07/01/18,22,228,8,0.075,95.68,227.8
212,Distributor,WARE-NMK1003,04/10/18,06/26/18,07/20/18,22,180,7,0.05,123.95,167.5
213,In-Store,WARE-UHY1004,12/31/17,06/26/18,07/08/18,7,250,3,0.1,538.48,"1,145.70"
214,In-Store,WARE-PUJ1005,04/10/18,06/26/18,07/12/18,4,326,7,0.075,"2,157.67","2,599.60"
215,Distributor,WARE-NMK1003,04/10/18,06/27/18,07/09/18,24,136,1,0.05,"1,969.80","3,939.60"
216,In-Store,WARE-NMK1003,04/10/18,06/27/18,07/18/18,2,112,8,0.075,"1,584.55","2,881.00"
217,In-Store,WARE-NMK1003,04/10/18,06/27/18,07/04/18,3,108,2,0.05,"2,003.30","3,852.50"
218,Wholesale,WARE-XYS1001,04/10/18,06/27/18,07/04/18,27,56,2,0.05,546.72,"1,139.00"
219,Distributor,WARE-NMK1003,04/10/18,06/27/18,07/06/18,23,195,4,0.05,"2,040.55","2,519.20"
220,In-Store,WARE-NBV1002,12/31/17,06/27/18,07/18/18,9,82,1,0.15,703.63,"1,192.60"
221,In-Store,WARE-UHY1004,04/10/18,06/27/18,06/29/18,5,215,5,0.075,"1,013.04","2,412.00"
222,In-Store,WARE-NMK1003,04/10/18,06/27/18,07/18/18,9,134,7,0.05,"2,057.57","2,479.00"
223,Wholesale,WARE-PUJ1005,04/10/18,06/27/18,07/13/18,26,322,7,0.1,"1,330.35","1,956.40"
224,Online,WARE-NMK1003,04/10/18,06/27/18,07/05/18,15,176,5,0.3,722.73,"1,078.70"
225,In-Store,WARE-NBV1002,12/31/17,06/27/18,07/12/18,6,70,1,0.075,945.91,"1,212.70"
226,Online,WARE-UHY1004,04/10/18,06/27/18,07/06/18,18,252,5,0.075,821.69,978.2
227,In-Store,WARE-PUJ1005,04/10/18,06/27/18,07/14/18,4,275,3,0.05,120.2,174.2
228,Online,WARE-UHY1004,04/10/18,06/27/18,07/08/18,19,226,3,0.15,630.34,"1,125.60"
229,Online,WARE-PUJ1005,04/10/18,06/28/18,07/10/18,20,288,6,0.15,468.73,"1,065.30"
230,Online,WARE-NBV1002,04/10/18,06/28/18,07/16/18,15,60,5,0.075,"2,724.89","3,892.70"
231,Online,WARE-PUJ1005,04/10/18,06/28/18,07/18/18,17,297,2,0.3,120.47,207.7
232,In-Store,WARE-NBV1002,04/10/18,06/28/18,07/13/18,3,75,7,0.3,948.72,"1,185.90"
233,In-Store,WARE-MKL1006,04/10/18,06/28/18,07/10/18,10,352,2,0.15,"1,629.31","2,586.20"
234,In-Store,WARE-XYS1001,04/10/18,06/28/18,07/08/18,8,25,4,0.3,"1,960.42","2,579.50"
235,Online,WARE-XYS1001,04/10/18,06/28/18,07/21/18,16,23,8,0.075,"2,806.50","6,378.40"
236,Distributor,WARE-PUJ1005,04/10/18,06/28/18,07/03/18,24,292,7,0.2,"2,226.14","3,008.30"
237,In-Store,WARE-NMK1003,04/10/18,06/28/18,07/25/18,11,140,3,0.075,930.36,"1,755.40"
238,Online,WARE-NMK1003,12/31/17,06/28/18,07/09/18,13,171,8,0.075,740.35,"1,139.00"
239,In-Store,WARE-XYS1001,04/10/18,06/28/18,07/13/18,11,44,5,0.075,"4,556.40","6,157.30"
240,Online,WARE-XYS1001,04/10/18,06/28/18,07/25/18,18,43,7,0.1,"1,093.24","2,231.10"
241,In-Store,WARE-NBV1002,04/10/18,06/28/18,07/15/18,11,64,7,0.1,"1,859.25","2,479.00"
242,Distributor,WARE-XYS1001,04/10/18,06/29/18,07/06/18,21,18,4,0.05,"4,793.85","6,391.80"
