,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,_SalesTeamID,_StoreID,Order Quantity,Discount Applied,Unit Cost,Unit Price,DaysToShip
18,In-Store,WARE-MKL1006,4/10/2018,6/1/2018,6/7/2018,5,349,4,0.1,"4,130.01","5,581.10",6 days
19,Online,WARE-NMK1003,12/31/2017,6/1/2018,6/11/2018,14,134,4,0.05,"1,795.33","3,095.40",10 days
20,Wholesale,WARE-NMK1003,4/10/2018,6/1/2018,6/18/2018,25,193,4,0.4,"1,754.06","2,278.00",17 days
21,In-Store,WARE-PUJ1005,4/10/2018,6/2/2018,6/10/2018,2,282,7,0.075,654.46,991.6,8 days
22,In-Store,WARE-XYS1001,4/10/2018,6/2/2018,6/26/2018,7,20,2,0.2,"3,064.45","3,979.80",24 days
23,Distributor,WARE-UHY1004,12/31/2017,6/2/2018,6/22/2018,24,218,3,0.4,866.71,"1,969.80",20 days
24,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/16/2018,4,173,1,0.15,131.32,268,14 days
25,Online,WARE-NMK1003,12/31/2017,6/2/2018,6/21/2018,18,110,7,0.1,95.81,174.2,19 days
26,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/26/2018,7,229,3,0.075,"2,510.09","2,988.20",24 days
27,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/20/2018,9,238,4,0.05,"2,679.93","3,999.90",18 days
28,Distributor,WARE-NMK1003,4/10/2018,6/2/2018,6/21/2018,20,97,3,0.05,"2,450.32","5,976.40",19 days
29,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/27/2018,8,103,5,0.1,"2,378.90","2,901.10",25 days
30,In-Store,WARE-PUJ1005,4/10/2018,6/3/2018,6/26/2018,8,305,7,0.075,"2,734.61","6,076.90",23 days
31,Online,WARE-PUJ1005,12/31/2017,6/3/2018,6/5/2018,13,303,7,0.2,"4,186.70","5,735.20",2 days
32,Online,WARE-UHY1004,12/31/2017,6/3/2018,6/30/2018,19,217,3,0.1,"2,077.34","3,919.50",27 days
33,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/30/2018,17,362,1,0.05,"3,832.67","6,083.60",27 days
34,Wholesale,WARE-MKL1006,4/10/2018,6/3/2018,6/14/2018,26,335,5,0.075,"1,642.30","2,566.10",11 days
35,Distributor,WARE-NBV1002,12/31/2017,6/3/2018,6/7/2018,22,84,2,0.075,"1,093.44","2,278.00",4 days
36,In-Store,WARE-UHY1004,12/31/2017,6/3/2018,6/14/2018,7,256,1,0.075,120.2,261.3,11 days
37,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/28/2018,12,360,8,0.05,698.81,998.3,25 days
38,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/13/2018,4,90,6,0.2,"1,958.54","3,497.40",10 days
39,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/18/2018,9,196,4,0.05,486.89,"1,132.30",15 days
40,In-Store,WARE-XYS1001,12/31/2017,6/3/2018,6/15/2018,7,40,7,0.05,"1,587.50","2,405.30",12 days
41,Distributor,WARE-MKL1006,12/31/2017,6/3/2018,6/24/2018,24,367,8,0.05,"3,249.97","5,701.70",21 days
42,Distributor,WARE-UHY1004,12/31/2017,6/4/2018,6/9/2018,25,249,1,0.2,"1,446.80","2,452.20",5 days
43,In-Store,WARE-XYS1001,12/31/2017,6/4/2018,6/30/2018,11,6,3,0.05,"2,012.01","3,095.40",26 days
44,Online,WARE-UHY1004,12/31/2017,6/4/2018,6/12/2018,15,212,4,0.4,"2,164.90","3,865.90",8 days
45,Distributor,WARE-XYS1001,12/31/2017,6/4/2018,6/10/2018,23,37,8,0.1,"1,382.88","2,304.80",6 days
46,Online,WARE-XYS1001,12/31/2017,6/4/2018,6/21/2018,17,38,3,0.05,"1,470.11","3,195.90",17 days
47,Online,WARE-PUJ1005,12/31/2017,6/4/2018,6/19/2018,18,294,7,0.05,"5,161.68","6,452.10",15 days
48,Distributor,WARE-NMK1003,12/31/2017,6/5/2018,6/14/2018,24,105,3,0.3,921.52,"2,003.30",9 days
49,Distributor,WARE-XYS1001,4/10/2018,6/5/2018,6/28/2018,23,17,8,0.05,"1,455.24","3,638.10",23 days
50,In-Store,WARE-NMK1003,4/10/2018,6/5/2018,6/14/2018,4,109,3,0.075,"1,822.40","2,278.00",9 days
51,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/25/2018,16,141,6,0.3,582.5,924.6,20 days
52,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/21/2018,19,111,5,0.05,"3,062.44","3,926.20",16 days
53,Distributor,WARE-MKL1006,12/31/2017,6/5/2018,6/12/2018,23,349,4,0.075,"2,257.16","3,825.70",7 days
54,Wholesale,WARE-MKL1006,12/31/2017,6/5/2018,7/3/2018,27,360,3,0.05,"1,377.32","2,257.90",28 days
55,Distributor,WARE-NMK1003,12/31/2017,6/6/2018,7/2/2018,24,148,8,0.075,756.3,"1,112.20",26 days
56,Online,WARE-NMK1003,12/31/2017,6/6/2018,6/22/2018,19,103,8,0.05,"1,814.43","3,557.70",16 days
57,Online,WARE-NBV1002,12/31/2017,6/6/2018,6/9/2018,13,59,3,0.4,"1,233.34","2,371.80",3 days
58,Online,WARE-NBV1002,12/31/2017,6/6/2018,7/1/2018,14,60,1,0.4,686.08,857.6,25 days
59,In-Store,WARE-UHY1004,12/31/2017,6/7/2018,6/14/2018,11,238,5,0.3,"2,880.60","3,892.70",7 days
60,In-Store,WARE-NMK1003,12/31/2017,6/7/2018,6/13/2018,3,151,6,0.075,"1,390.92","3,477.30",6 days
61,Online,WARE-NMK1003,12/31/2017,6/7/2018,6/11/2018,13,152,5,0.1,"2,803.95","3,738.60",4 days
62,Online,WARE-PUJ1005,4/10/2018,6/7/2018,6/10/2018,20,262,5,0.3,589.6,"1,072.00",3 days
63,In-Store,WARE-NMK1003,4/10/2018,6/7/2018,7/1/2018,5,120,7,0.05,"1,761.16","2,257.90",24 days
64,Online,WARE-UHY1004,4/10/2018,6/7/2018,6/11/2018,18,233,3,0.1,751.61,"1,058.60",4 days
65,Online,WARE-NBV1002,4/10/2018,6/7/2018,6/15/2018,13,77,4,0.1,"1,296.05","2,492.40",8 days
66,In-Store,WARE-NBV1002,4/10/2018,6/7/2018,6/13/2018,4,69,5,0.05,"2,465.60","3,852.50",6 days
67,Distributor,WARE-UHY1004,12/31/2017,6/8/2018,6/19/2018,23,215,8,0.05,132.66,241.2,11 days
68,In-Store,WARE-XYS1001,12/31/2017,6/8/2018,6/11/2018,9,30,2,0.15,494.39,"1,051.90",3 days
69,Distributor,WARE-NMK1003,12/31/2017,6/8/2018,6/14/2018,25,169,5,0.3,107.07,227.8,6 days
70,Distributor,WARE-MKL1006,4/10/2018,6/8/2018,6/14/2018,24,333,5,0.05,506.99,"1,078.70",6 days
71,Wholesale,WARE-NMK1003,4/10/2018,6/8/2018,6/13/2018,28,96,8,0.15,743.7,"1,005.00",5 days
72,Distributor,WARE-PUJ1005,4/10/2018,6/8/2018,7/3/2018,24,289,5,0.05,"1,317.42","2,485.70",25 days
73,In-Store,WARE-NMK1003,4/10/2018,6/8/2018,6/30/2018,3,140,3,0.05,"2,154.52","2,659.90",22 days
74,In-Store,WARE-NMK1003,4/10/2018,6/9/2018,6/28/2018,1,107,1,0.075,"1,579.32","2,224.40",19 days
75,In-Store,WARE-MKL1006,4/10/2018,6/9/2018,6/12/2018,11,338,7,0.2,"1,260.87","2,472.30",3 days
76,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,6/23/2018,5,232,5,0.05,799.24,"1,011.70",14 days
77,Wholesale,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,26,231,6,0.2,128.98,234.5,26 days
78,Online,WARE-NMK1003,4/10/2018,6/9/2018,6/14/2018,13,158,4,0.075,143.72,261.3,5 days
79,Online,WARE-XYS1001,12/31/2017,6/9/2018,6/27/2018,18,36,7,0.1,"2,844.69","4,006.60",18 days
80,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,3,206,7,0.05,866.65,"1,333.30",26 days
81,In-Store,WARE-UHY1004,4/10/2018,6/10/2018,7/7/2018,10,255,5,0.05,90.45,167.5,27 days
82,Online,WARE-MKL1006,4/10/2018,6/10/2018,6/28/2018,14,336,7,0.075,"1,821.66","3,195.90",18 days
83,Online,WARE-PUJ1005,4/10/2018,6/10/2018,6/30/2018,20,307,1,0.05,809.96,"1,051.90",20 days
84,Online,WARE-XYS1001,12/31/2017,6/10/2018,6/30/2018,15,9,4,0.1,"3,540.62","5,447.10",20 days
85,Online,WARE-NMK1003,4/10/2018,6/10/2018,6/16/2018,13,200,2,0.075,"1,973.15","3,182.50",6 days
86,In-Store,WARE-MKL1006,12/31/2017,6/11/2018,6/29/2018,6,337,3,0.1,632.68,891.1,18 days
87,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/16/2018,15,158,2,0.2,"2,724.89","3,892.70",5 days
88,Online,WARE-UHY1004,12/31/2017,6/11/2018,6/13/2018,13,249,2,0.4,"3,360.05","3,953.00",2 days
89,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/28/2018,20,185,2,0.3,545.51,924.6,17 days
90,Online,WARE-NMK1003,4/10/2018,6/11/2018,7/7/2018,20,189,7,0.3,"1,989.63","3,430.40",26 days
91,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/28/2018,22,170,7,0.075,622.3,"1,152.40",17 days
92,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/21/2018,21,130,4,0.1,922.59,"1,085.40",10 days
93,In-Store,WARE-NMK1003,12/31/2017,6/12/2018,6/16/2018,5,149,5,0.1,"4,025.36","5,031.70",4 days
94,Distributor,WARE-NMK1003,4/10/2018,6/12/2018,6/28/2018,24,99,7,0.15,436.84,"1,092.10",16 days
95,Wholesale,WARE-XYS1001,12/31/2017,6/12/2018,6/25/2018,27,21,7,0.05,144.45,187.6,13 days
96,Online,WARE-NMK1003,12/31/2017,6/12/2018,7/9/2018,18,90,4,0.05,"2,835.17","3,993.20",27 days
97,Online,WARE-MKL1006,12/31/2017,6/12/2018,6/15/2018,14,360,5,0.05,"1,433.93","2,472.30",3 days
98,In-Store,WARE-XYS1001,4/10/2018,6/12/2018,7/5/2018,4,23,4,0.05,844.2,"1,206.00",23 days
99,Online,WARE-NMK1003,12/31/2017,6/12/2018,6/22/2018,20,144,5,0.05,985.3,"1,728.60",10 days
100,Wholesale,WARE-NMK1003,12/31/2017,6/12/2018,6/20/2018,28,134,7,0.075,"1,447.74","1,983.20",8 days
101,Online,WARE-NMK1003,4/10/2018,6/12/2018,7/10/2018,20,180,2,0.2,"2,656.55","5,313.10",28 days
102,Distributor,WARE-XYS1001,4/10/2018,6/12/2018,6/17/2018,20,58,5,0.075,566.15,871,5 days
103,Online,WARE-NMK1003,12/31/2017,6/13/2018,6/27/2018,12,175,2,0.1,"2,051.41","2,532.60",14 days
104,Online,WARE-NMK1003,4/10/2018,6/13/2018,6/25/2018,14,95,4,0.075,"4,673.72","5,916.10",12 days
105,Online,WARE-UHY1004,12/31/2017,6/13/2018,6/23/2018,13,231,1,0.075,"1,443.85","2,887.70",10 days
106,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,6/20/2018,1,199,7,0.1,"1,447.60","1,855.90",7 days
107,In-Store,WARE-XYS1001,4/10/2018,6/13/2018,6/17/2018,2,58,5,0.1,135.01,207.7,4 days
108,In-Store,WARE-MKL1006,12/31/2017,6/13/2018,6/29/2018,2,345,3,0.05,772.78,"1,058.60",16 days
109,Online,WARE-UHY1004,4/10/2018,6/13/2018,7/3/2018,13,241,7,0.1,517.37,958.1,20 days
110,In-Store,WARE-NMK1003,4/10/2018,6/13/2018,7/8/2018,6,186,7,0.2,"1,675.74","2,659.90",25 days
111,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,7/5/2018,7,144,3,0.1,"1,707.63","2,217.70",22 days
112,Online,WARE-XYS1001,12/31/2017,6/14/2018,6/17/2018,20,40,1,0.3,857.6,"1,715.20",3 days
113,In-Store,WARE-PUJ1005,4/10/2018,6/14/2018,7/6/2018,6,288,7,0.15,"1,691.15","3,932.90",22 days
114,In-Store,WARE-NMK1003,12/31/2017,6/14/2018,6/19/2018,2,169,2,0.05,"1,909.50","2,546.00",5 days
115,Online,WARE-PUJ1005,12/31/2017,6/14/2018,6/26/2018,15,277,1,0.075,603,837.5,12 days
116,Online,WARE-UHY1004,4/10/2018,6/14/2018,6/26/2018,16,219,3,0.15,"1,302.48","1,809.00",12 days
117,Wholesale,WARE-PUJ1005,4/10/2018,6/14/2018,6/29/2018,26,306,8,0.075,514.56,857.6,15 days
118,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/30/2018,8,7,6,0.05,"1,101.68","1,748.70",16 days
119,Wholesale,WARE-NBV1002,12/31/2017,6/14/2018,6/16/2018,28,78,1,0.075,582.5,"1,266.30",2 days
120,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/16/2018,3,28,5,0.1,"3,591.54","5,058.50",2 days
121,Distributor,WARE-XYS1001,4/10/2018,6/14/2018,6/28/2018,22,39,7,0.05,795.22,958.1,14 days
122,Online,WARE-NMK1003,12/31/2017,6/14/2018,7/10/2018,19,122,8,0.15,756.97,"1,802.30",26 days
123,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,7/7/2018,4,48,4,0.075,"4,534.56","6,298.00",22 days
124,Online,WARE-XYS1001,12/31/2017,6/15/2018,7/2/2018,18,1,1,0.1,"1,824.34","2,499.10",17 days
125,In-Store,WARE-NMK1003,4/10/2018,6/15/2018,6/19/2018,8,198,3,0.1,705.51,871,4 days
126,In-Store,WARE-UHY1004,12/31/2017,6/15/2018,7/12/2018,1,242,1,0.05,360.19,750.4,27 days
127,Wholesale,WARE-NMK1003,4/10/2018,6/15/2018,6/23/2018,27,200,8,0.075,504.11,763.8,8 days
128,In-Store,WARE-PUJ1005,12/31/2017,6/15/2018,6/26/2018,5,304,6,0.1,565.61,844.2,11 days
129,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,7/5/2018,2,31,7,0.05,112.36,261.3,20 days
130,Online,WARE-NBV1002,12/31/2017,6/15/2018,7/6/2018,19,71,2,0.05,"2,359.94","3,999.90",21 days
131,In-Store,WARE-UHY1004,12/31/2017,6/15/2018,6/25/2018,4,250,6,0.05,811.91,"1,112.20",10 days
132,In-Store,WARE-NMK1003,4/10/2018,6/15/2018,6/26/2018,10,167,2,0.075,"1,843.17","2,633.10",11 days
133,Distributor,WARE-NMK1003,12/31/2017,6/15/2018,7/9/2018,22,132,6,0.2,631.41,"1,018.40",24 days
134,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,6/27/2018,1,56,4,0.15,"3,444.74","5,219.30",12 days
135,Distributor,WARE-UHY1004,4/10/2018,6/15/2018,7/13/2018,21,259,1,0.15,"2,359.94","3,999.90",28 days
136,Online,WARE-MKL1006,4/10/2018,6/16/2018,6/27/2018,20,341,5,0.4,"1,084.80","1,721.90",11 days
137,In-Store,WARE-NMK1003,12/31/2017,6/16/2018,7/5/2018,10,195,6,0.15,456.94,737,19 days
138,Online,WARE-XYS1001,4/10/2018,6/16/2018,7/7/2018,19,33,3,0.05,695.06,"1,219.40",21 days
139,In-Store,WARE-PUJ1005,12/31/2017,6/16/2018,7/12/2018,2,279,8,0.05,712.88,891.1,26 days
140,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/14/2018,7,148,1,0.15,743.43,978.2,28 days
141,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/1/2018,11,170,1,0.15,"1,657.45","3,946.30",15 days
142,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/5/2018,3,181,2,0.4,922.86,"1,299.80",19 days
143,Online,WARE-NBV1002,4/10/2018,6/17/2018,7/14/2018,19,77,4,0.05,"2,791.49","5,815.60",27 days
144,In-Store,WARE-NMK1003,4/10/2018,6/17/2018,7/8/2018,3,122,6,0.15,655.26,"1,092.10",21 days
145,Distributor,WARE-XYS1001,4/10/2018,6/17/2018,7/10/2018,24,36,6,0.15,643.2,"1,072.00",23 days
146,Online,WARE-UHY1004,4/10/2018,6/17/2018,7/8/2018,17,217,5,0.05,"2,653.20","4,020.00",21 days
147,Online,WARE-NBV1002,4/10/2018,6/17/2018,7/10/2018,20,63,4,0.15,669.73,984.9,23 days
148,Distributor,WARE-MKL1006,4/10/2018,6/17/2018,7/2/2018,21,341,7,0.05,100.23,227.8,15 days
149,In-Store,WARE-XYS1001,12/31/2017,6/17/2018,6/23/2018,3,36,3,0.15,"3,314.36","3,993.20",6 days
150,Online,WARE-NMK1003,12/31/2017,6/17/2018,6/29/2018,12,163,4,0.075,185.72,221.1,12 days
151,Online,WARE-NMK1003,4/10/2018,6/18/2018,7/4/2018,12,101,6,0.075,"2,819.63","3,356.70",16 days
152,In-Store,WARE-PUJ1005,12/31/2017,6/18/2018,7/9/2018,1,321,1,0.05,"1,157.22","1,701.80",21 days
153,In-Store,WARE-PUJ1005,4/10/2018,6/18/2018,7/8/2018,3,276,3,0.15,"2,181.19","2,566.10",20 days
154,In-Store,WARE-NMK1003,12/31/2017,6/18/2018,6/22/2018,6,101,4,0.05,126.03,221.1,4 days
155,In-Store,WARE-UHY1004,4/10/2018,6/18/2018,6/30/2018,5,248,1,0.1,980.21,"1,782.20",12 days
156,Distributor,WARE-NMK1003,12/31/2017,6/18/2018,7/15/2018,24,95,8,0.05,801.32,"2,003.30",27 days
157,Distributor,WARE-XYS1001,12/31/2017,6/18/2018,7/9/2018,20,33,5,0.075,"1,502.68","2,385.20",21 days
158,Online,WARE-XYS1001,4/10/2018,6/18/2018,7/11/2018,13,12,1,0.1,"1,784.88","2,231.10",23 days
159,In-Store,WARE-NMK1003,4/10/2018,6/18/2018,7/2/2018,10,119,1,0.05,412.05,"1,005.00",14 days
160,Distributor,WARE-PUJ1005,4/10/2018,6/18/2018,7/12/2018,23,290,7,0.05,"1,939.25","2,693.40",24 days
161,Online,WARE-NMK1003,4/10/2018,6/18/2018,7/10/2018,17,110,4,0.075,652.25,"1,105.50",22 days
162,Online,WARE-NBV1002,4/10/2018,6/19/2018,7/10/2018,17,87,1,0.075,"1,088.42","1,909.50",21 days
163,Distributor,WARE-NMK1003,4/10/2018,6/19/2018,6/21/2018,21,177,7,0.2,850.36,"1,118.90",2 days
164,In-Store,WARE-NMK1003,4/10/2018,6/19/2018,6/28/2018,11,94,7,0.2,758.11,"1,038.50",9 days
165,In-Store,WARE-NMK1003,12/31/2017,6/19/2018,6/28/2018,1,126,6,0.05,"4,300.86","6,324.80",9 days
166,In-Store,WARE-XYS1001,12/31/2017,6/19/2018,6/27/2018,3,17,7,0.2,502.5,"1,005.00",8 days
167,In-Store,WARE-NMK1003,4/10/2018,6/19/2018,7/14/2018,3,178,5,0.075,659.48,"1,293.10",25 days
168,In-Store,WARE-NBV1002,4/10/2018,6/19/2018,7/16/2018,1,76,6,0.4,540.29,844.2,27 days
169,In-Store,WARE-PUJ1005,4/10/2018,6/19/2018,7/7/2018,6,318,4,0.05,195.84,247.9,18 days
170,Distributor,WARE-UHY1004,12/31/2017,6/19/2018,6/26/2018,21,217,7,0.3,139.36,174.2,7 days
171,In-Store,WARE-PUJ1005,4/10/2018,6/20/2018,7/11/2018,2,278,6,0.1,707.32,"1,025.10",21 days
172,Distributor,WARE-MKL1006,12/31/2017,6/20/2018,7/1/2018,21,341,3,0.15,"2,301.45","3,068.60",11 days
173,Online,WARE-NMK1003,12/31/2017,6/20/2018,7/9/2018,16,122,2,0.075,115.78,241.2,19 days
174,In-Store,WARE-NMK1003,4/10/2018,6/20/2018,7/12/2018,11,200,1,0.2,139.36,174.2,22 days
175,In-Store,WARE-XYS1001,12/31/2017,6/20/2018,7/3/2018,3,30,2,0.2,"1,804.18","2,505.80",13 days
176,Distributor,WARE-UHY1004,12/31/2017,6/20/2018,7/17/2018,25,233,7,0.15,"1,637.75","2,599.60",27 days
177,Online,WARE-NMK1003,12/31/2017,6/20/2018,6/24/2018,18,151,6,0.15,"1,503.48","2,278.00",4 days
178,Distributor,WARE-MKL1006,4/10/2018,6/21/2018,7/13/2018,24,353,2,0.075,589.73,"1,092.10",22 days
179,Wholesale,WARE-XYS1001,4/10/2018,6/21/2018,7/4/2018,25,43,5,0.2,933.98,"1,139.00",13 days
180,In-Store,WARE-MKL1006,12/31/2017,6/21/2018,7/2/2018,4,339,2,0.15,"1,072.00","1,675.00",11 days
181,Wholesale,WARE-UHY1004,4/10/2018,6/21/2018,6/29/2018,26,228,2,0.05,687.96,"1,011.70",8 days
182,Wholesale,WARE-NMK1003,4/10/2018,6/21/2018,7/16/2018,27,128,7,0.1,412.72,938,25 days
183,Wholesale,WARE-XYS1001,4/10/2018,6/21/2018,7/16/2018,28,55,8,0.05,"1,052.10","2,566.10",25 days
184,Distributor,WARE-NMK1003,4/10/2018,6/22/2018,7/16/2018,24,177,5,0.1,374.53,871,24 days
185,In-Store,WARE-NBV1002,4/10/2018,6/22/2018,7/17/2018,2,81,1,0.1,"1,789.70","2,485.70",25 days
186,In-Store,WARE-MKL1006,4/10/2018,6/22/2018,7/13/2018,1,365,4,0.4,"1,922.90","2,345.00",21 days
187,Online,WARE-XYS1001,4/10/2018,6/22/2018,7/12/2018,15,48,2,0.05,749.66,"1,118.90",20 days
188,In-Store,WARE-XYS1001,4/10/2018,6/22/2018,6/25/2018,11,11,4,0.1,"1,397.62","1,996.60",3 days
189,In-Store,WARE-NMK1003,4/10/2018,6/22/2018,7/10/2018,11,127,1,0.075,390.61,710.2,18 days
190,Online,WARE-NMK1003,4/10/2018,6/22/2018,7/15/2018,13,201,4,0.05,"1,790.91","3,979.80",23 days
191,In-Store,WARE-MKL1006,12/31/2017,6/22/2018,7/11/2018,8,339,3,0.075,440.79,"1,025.10",19 days
192,In-Store,WARE-NMK1003,12/31/2017,6/22/2018,7/4/2018,3,198,7,0.2,"1,309.98","2,519.20",12 days
193,Online,WARE-NMK1003,12/31/2017,6/22/2018,7/18/2018,15,150,7,0.05,"3,471.87","5,031.70",26 days
194,Online,WARE-PUJ1005,4/10/2018,6/23/2018,7/1/2018,19,311,1,0.1,768.22,"1,829.10",8 days
195,In-Store,WARE-PUJ1005,4/10/2018,6/23/2018,7/16/2018,5,304,5,0.075,900.48,"1,072.00",23 days
196,In-Store,WARE-UHY1004,4/10/2018,6/23/2018,7/8/2018,5,247,1,0.2,"1,828.30","2,539.30",15 days
197,In-Store,WARE-PUJ1005,4/10/2018,6/23/2018,7/11/2018,11,265,1,0.075,"2,027.69","3,899.40",18 days
198,In-Store,WARE-MKL1006,4/10/2018,6/24/2018,6/27/2018,5,366,3,0.2,"3,380.22","5,045.10",3 days
199,Online,WARE-NMK1003,4/10/2018,6/24/2018,7/14/2018,19,125,8,0.05,522.6,"1,005.00",20 days
200,Wholesale,WARE-NMK1003,4/10/2018,6/24/2018,7/10/2018,27,182,7,0.1,"1,219.40","2,438.80",16 days
201,In-Store,WARE-NMK1003,4/10/2018,6/25/2018,7/10/2018,11,152,4,0.3,"2,035.33","3,336.60",15 days
202,In-Store,WARE-UHY1004,4/10/2018,6/25/2018,7/14/2018,1,256,4,0.15,857.06,"1,098.80",19 days
203,Online,WARE-NBV1002,4/10/2018,6/25/2018,7/18/2018,19,66,2,0.075,970.43,"1,902.80",23 days
204,Online,WARE-NMK1003,12/31/2017,6/25/2018,7/5/2018,17,156,4,0.075,"2,190.70","3,477.30",10 days
205,Wholesale,WARE-NMK1003,4/10/2018,6/26/2018,7/13/2018,26,200,1,0.1,"1,481.77","2,599.60",17 days
206,Online,WARE-PUJ1005,4/10/2018,6/26/2018,7/20/2018,12,299,1,0.075,506.99,"1,078.70",24 days
207,Online,WARE-NMK1003,12/31/2017,6/26/2018,7/15/2018,17,199,5,0.2,533.05,"1,045.20",19 days
208,Online,WARE-NMK1003,12/31/2017,6/26/2018,7/19/2018,15,157,2,0.05,787.92,"1,125.60",23 days
209,In-Store,WARE-NMK1003,4/10/2018,6/26/2018,7/16/2018,1,187,8,0.05,762.8,"1,105.50",20 days
210,Online,WARE-NBV1002,12/31/2017,6/26/2018,7/24/2018,18,84,1,0.1,"1,668.03","2,606.30",28 days
211,Distributor,WARE-UHY1004,4/10/2018,6/26/2018,7/1/2018,22,228,8,0.075,95.68,227.8,5 days
212,Distributor,WARE-NMK1003,4/10/2018,6/26/2018,7/20/2018,22,180,7,0.05,123.95,167.5,24 days
213,In-Store,WARE-UHY1004,12/31/2017,6/26/2018,7/8/2018,7,250,3,0.1,538.48,"1,145.70",12 days
214,In-Store,WARE-PUJ1005,4/10/2018,6/26/2018,7/12/2018,4,326,7,0.075,"2,157.67","2,599.60",16 days
215,Distributor,WARE-NMK1003,4/10/2018,6/27/2018,7/9/2018,24,136,1,0.05,"1,969.80","3,939.60",12 days
216,In-Store,WARE-NMK1003,4/10/2018,6/27/2018,7/18/2018,2,112,8,0.075,"1,584.55","2,881.00",21 days
217,In-Store,WARE-NMK1003,4/10/2018,6/27/2018,7/4/2018,3,108,2,0.05,"2,003.30","3,852.50",7 days
218,Wholesale,WARE-XYS1001,4/10/2018,6/27/2018,7/4/2018,27,56,2,0.05,546.72,"1,139.00",7 days
